parameter,level,baseline_level,wait_mean,wait_sensitivity,util_mean,util_sensitivity,jobs_mean,jobs_sensitivity
arrivalRate,2.0000,4.0000,0.341012,0.311953,0.212426,0.988959,19.100000,0.992970
arrivalRate,6.0000,4.0000,0.501488,0.482420,0.621115,0.956191,57.133333,1.012302
arrivalRate,8.0000,4.0000,0.692663,0.714377,0.787760,0.874668,73.700000,0.942882
technicianCount,2.0000,3.0000,0.542766,-1.030125,0.628177,-1.484699,38.100000,-0.013181
technicianCount,4.0000,3.0000,0.361939,-0.312547,0.323920,-0.687456,39.366667,0.113357
technicianCount,5.0000,3.0000,0.356318,-0.177140,0.263668,-0.558805,38.833333,0.035589
serviceRate,1.5000,2.0000,0.566926,-1.612691,0.550280,-1.238103,37.933333,-0.000000
serviceRate,2.5000,2.0000,0.318879,-0.843034,0.338016,-0.782430,37.933333,0.000000
advisorCount,1.0000,4.0000,0.414764,-0.035417,0.415903,0.013677,37.933333,-0.000000
advisorCount,2.0000,4.0000,0.397230,0.033669,0.417148,0.014590,37.933333,-0.000000
partsLeadTimeHours,0.5000,2.0000,0.383658,0.067235,0.419818,0.001253,37.933333,-0.000000
partsLeadTimeHours,4.0000,2.0000,0.465299,0.151640,0.422086,0.004456,37.933333,0.000000
